"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 14-Aug-2023"
"NIFTY 50","24,184.40","24,196.50","24,099.70","24,139.00","24,143.75","4.75","0.02","30,32,54,705","27,834.44","25,078.30","18,837.85","-1.80","24.23"
"TCS","4,209.00","4,306.20","4,188.15","4,196.95","4,293.00","96.05","2.29","32,26,545","1,376.36","4,431.00","3,311.00","3.02","24.51"
"HCLTECH","1,600.10","1,629.75","1,598.25","1,592.65","1,623.90","31.25","1.96","39,32,148","634.84","1,697.35","1,139.30","3.60","38.87"
"TECHM","1,512.00","1,529.45","1,505.00","1,503.40","1,525.45","22.05","1.47","28,33,790","430.93","1,569.00","1,098.15","1.69","24.98"
"INFY","1,802.00","1,825.00","1,797.45","1,797.45","1,820.00","22.55","1.25","74,50,718","1,351.34","1,903.00","1,351.65","6.81","30.83"
"M&M","2,728.80","2,771.95","2,715.30","2,718.05","2,749.45","31.40","1.16","26,09,359","717.91","3,013.50","1,450.00","0.52","77.47"
"WIPRO","493.00","496.85","490.45","490.50","495.70","5.20","1.06","55,60,878","274.23","579.90","375.05","-11.53","19.27"
"BPCL","321.70","327.45","320.65","321.70","325.10","3.40","1.06","84,57,477","274.76","359.05","165.73","5.62","-8.83"
"BHARTIARTL","1,453.10","1,480.10","1,453.10","1,459.70","1,473.25","13.55","0.93","58,91,784","865.70","1,536.25","847.05","2.37","69.74"
"TATAMOTORS","1,057.00","1,067.05","1,047.00","1,053.45","1,062.85","9.40","0.89","82,11,830","869.81","1,179.00","593.30","3.70","74.92"
"LTIM","5,395.00","5,439.95","5,367.00","5,384.90","5,432.05","47.15","0.88","2,41,696","130.73","6,442.00","4,513.55","-0.92","4.51"
"SBIN","800.95","809.15","800.40","797.55","803.20","5.65","0.71","1,17,88,665","947.70","912.00","543.20","-8.89","43.19"
"BAJAJ-AUTO","9,704.00","9,785.00","9,671.60","9,671.60","9,724.00","52.40","0.54","2,82,934","275.54","10,038.80","4,541.00","0.79","111.18"
"ITC","491.95","499.00","489.90","490.00","492.55","2.55","0.52","92,53,598","457.16","510.65","399.35","6.21","9.57"
"TITAN","3,390.00","3,416.20","3,356.85","3,383.55","3,400.10","16.55","0.49","9,97,803","338.86","3,886.95","2,978.05","5.52","13.00"
"SBILIFE","1,696.20","1,707.35","1,673.00","1,682.40","1,688.75","6.35","0.38","5,57,473","94.41","1,791.15","1,264.35","4.87","30.45"
"MARUTI","12,239.00","12,239.00","12,130.00","12,176.25","12,211.65","35.40","0.29","4,49,827","548.04","13,680.00","9,254.15","-3.47","30.94"
"HDFCBANK","1,606.50","1,613.70","1,603.20","1,603.20","1,607.80","4.60","0.29","1,61,67,214","2,599.64","1,794.00","1,363.55","-0.88","-0.19"
"HINDALCO","626.85","633.95","611.60","621.40","623.15","1.75","0.28","86,46,288","539.35","715.25","438.15","-11.23","37.85"
"NTPC","398.90","400.00","393.65","396.20","397.05","0.85","0.21","94,24,614","374.29","426.30","211.80","2.77","86.08"
"BAJFINANCE","6,482.50","6,489.95","6,430.95","6,465.05","6,474.00","8.95","0.14","7,74,276","499.79","8,192.00","6,187.80","-8.57","-7.97"
"ASIANPAINT","3,034.80","3,034.80","2,994.05","3,023.55","3,027.00","3.45","0.11","4,54,671","137.14","3,422.95","2,670.10","2.35","-5.52"
"HDFCLIFE","686.00","690.60","676.40","685.00","685.70","0.70","0.10","29,62,358","202.64","722.50","511.40","7.57","8.47"
"SUNPHARMA","1,747.50","1,753.00","1,732.60","1,740.10","1,740.80","0.70","0.04","22,07,250","384.41","1,758.00","1,068.35","9.80","53.55"
"SHRIRAMFIN","2,901.00","2,916.60","2,864.00","2,891.35","2,892.00","0.65","0.02","7,25,225","209.76","3,059.45","1,760.10","0.44","59.64"
"KOTAKBANK","1,755.00","1,760.00","1,744.55","1,752.05","1,749.00","-3.05","-0.17","25,85,649","452.92","1,926.50","1,543.85","-5.19","-2.58"
"RELIANCE","2,927.10","2,944.00","2,907.40","2,927.25","2,920.10","-7.15","-0.24","31,33,733","916.86","3,217.60","2,220.30","-8.48","13.44"
"NESTLEIND","2,486.90","2,491.95","2,460.60","2,484.70","2,478.00","-6.70","-0.27","5,61,876","138.97","2,769.30","2,145.00","-5.01","-88.70"
"GRASIM","2,524.00","2,534.50","2,505.05","2,519.25","2,511.65","-7.60","-0.30","2,86,936","72.17","2,877.75","1,758.05","-10.39","38.67"
"LT","3,558.95","3,578.70","3,536.50","3,551.80","3,540.05","-11.75","-0.33","15,84,372","563.54","3,919.90","2,616.00","-2.91","33.28"
"BRITANNIA","5,676.00","5,695.20","5,594.15","5,666.50","5,644.00","-22.50","-0.40","1,64,575","93.01","6,005.00","4,347.70","-2.59","25.77"
"INDUSINDBK","1,356.95","1,356.95","1,335.95","1,350.60","1,343.00","-7.60","-0.56","48,68,357","654.02","1,694.50","1,329.20","-7.34","-3.66"
"AXISBANK","1,159.00","1,159.00","1,148.65","1,159.60","1,152.65","-6.95","-0.60","50,21,841","578.60","1,339.65","928.90","-11.81","22.68"
"ICICIBANK","1,167.00","1,170.05","1,153.00","1,168.35","1,161.20","-7.15","-0.61","1,34,31,801","1,557.50","1,257.80","899.00","-5.55","21.06"
"HINDUNILVR","2,741.00","2,742.55","2,706.60","2,741.40","2,721.15","-20.25","-0.74","9,46,995","258.23","2,811.30","2,172.05","3.88","7.46"
"APOLLOHOSP","6,600.00","6,865.00","6,460.25","6,589.40","6,538.60","-50.80","-0.77","17,23,346","1,154.90","6,874.45","4,726.00","1.22","35.16"
"BAJAJFINSV","1,545.00","1,546.45","1,526.80","1,543.35","1,529.50","-13.85","-0.90","11,73,504","179.75","1,741.00","1,419.05","-4.56","3.18"
"TATACONSUM","1,187.00","1,187.10","1,158.70","1,178.80","1,167.40","-11.40","-0.97","9,91,108","115.81","1,256.44","820.05","1.63","38.22"
"POWERGRID","337.00","338.35","332.50","336.95","333.30","-3.65","-1.08","1,23,85,993","414.58","362.50","180.08","-3.01","36.40"
"CIPLA","1,597.00","1,597.00","1,555.00","1,583.45","1,565.35","-18.10","-1.14","8,96,638","140.79","1,606.70","1,132.00","3.07","26.56"
"EICHERMOT","4,810.95","4,820.00","4,716.00","4,802.25","4,740.80","-61.45","-1.28","3,28,795","155.97","5,058.90","3,274.90","-3.03","41.77"
"ADANIPORTS","1,488.00","1,488.00","1,452.00","1,483.45","1,460.00","-23.45","-1.58","26,48,057","387.17","1,621.40","754.50","-2.21","85.73"
"TATASTEEL","149.90","149.90","142.35","148.88","146.50","-2.38","-1.60","9,79,11,180","1,424.31","184.60","114.60","-12.35","23.72"
"ADANIENT","3,085.70","3,085.70","3,027.75","3,092.20","3,036.25","-55.95","-1.81","12,32,383","376.06","3,743.90","2,142.00","-1.63","23.78"
"ONGC","335.85","336.50","326.80","335.90","329.80","-6.10","-1.82","1,78,12,763","591.42","345.00","172.80","1.75","84.35"
"JSWSTEEL","911.95","911.95","885.40","907.85","890.00","-17.85","-1.97","20,24,615","181.59","959.40","723.00","-4.44","11.36"
"DRREDDY","6,955.00","6,962.00","6,792.50","6,948.40","6,800.00","-148.40","-2.14","3,45,593","236.27","7,035.00","5,205.55","0.09","16.79"
"ULTRACEMCO","11,200.00","11,200.00","10,963.10","11,271.20","11,006.55","-264.65","-2.35","4,04,673","446.66","12,078.00","7,987.65","-7.02","36.61"
"COALINDIA","522.90","527.90","499.05","521.75","506.10","-15.65","-3.00","1,47,66,889","750.97","542.25","227.00","1.40","115.78"
"HEROMOTOCO","5,280.00","5,297.60","4,991.00","5,245.50","5,079.00","-166.50","-3.17","21,85,163","1,115.10","5,894.55","2,890.00","-9.52","68.48"
"DIVISLAB","4,848.00","4,848.00","4,642.05","4,861.80","4,666.00","-195.80","-4.03","7,29,449","341.89","5,024.85","3,295.30","1.89","24.97"
